FECHA,confirmed,deaths,estimation,ratio,new confirmed,new deaths,new estimated,new ratio,new confirmed (7d),new deaths (7d),new estimated (7d),new ratio (7d)
2020-08-07,70816,2148,248600.0,0.2848592115848753,1230,32,3300.0,0.37272727272727274,1220.7142857142858,34.714285714285715,3257.142857142857,0.374780701754386
2020-08-08,71872,2180,252500.0,0.28464158415841584,1056,32,3900.0,0.27076923076923076,1172.7142857142858,34.285714285714285,3228.5714285714284,0.36323008849557525
2020-08-09,72793,2220,255900.0,0.2844587729581868,921,40,3400.0,0.27088235294117646,1126.2857142857142,34.285714285714285,3228.5714285714284,0.3488495575221239
2020-08-10,73951,2248,258500.0,0.2860773694390716,1158,28,2600.0,0.4453846153846154,1123.2857142857142,34.42857142857143,3114.285714285714,0.3606880733944954
2020-08-11,75088,2277,261000.0,0.2876934865900383,1137,29,2500.0,0.4548,1116.7142857142858,33.714285714285715,3014.285714285714,0.37047393364928916
2020-08-12,76238,2316,264200.0,0.28856169568508705,1150,39,3200.0,0.359375,1111.857142857143,33.714285714285715,2942.8571428571427,0.37781553398058254
2020-08-13,77449,2357,267100.0,0.2899625608386372,1211,41,2900.0,0.41758620689655174,1090.5714285714287,33.285714285714285,3000.0,0.3635238095238096
2020-08-14,78633,2384,269700.0,0.29155728587319246,1184,27,2600.0,0.4553846153846154,1054.7142857142858,34.0,3057.1428571428573,0.345
2020-08-15,79655,2416,273100.0,0.2916697180519956,1022,32,3400.0,0.30058823529411766,1060.857142857143,35.42857142857143,3157.1428571428573,0.33601809954751133
2020-08-16,80427,2453,276900.0,0.29045503791982663,772,37,3800.0,0.2031578947368421,1090.2857142857142,34.714285714285715,3071.4285714285716,0.35497674418604647
2020-08-17,81334,2486,279900.0,0.29058235083958556,907,33,3000.0,0.30233333333333334,1090.7142857142858,32.57142857142857,3100.0,0.35184331797235024
2020-08-18,82514,2525,283100.0,0.29146591310490993,1180,39,3200.0,0.36875,1087.7142857142858,32.285714285714285,3114.285714285714,0.3492660550458716
2020-08-19,83870,2559,285700.0,0.2935596779838992,1356,34,2600.0,0.5215384615384615,1089.4285714285713,32.285714285714285,3214.2857142857147,0.33893333333333325
2020-08-20,85084,2585,288800.0,0.29461218836565095,1214,26,3100.0,0.39161290322580644,1088.142857142857,31.142857142857142,3057.1428571428573,0.35593457943925233
2020-08-21,86247,2610,291500.0,0.2958730703259005,1163,25,2700.0,0.43074074074074076,1147.142857142857,30.142857142857142,3028.5714285714284,0.3787735849056604
2020-08-22,87281,2642,295600.0,0.29526725304465495,1034,32,4100.0,0.2521951219512195,1180.0,29.428571428571427,3057.1428571428573,0.3859813084112149
2020-08-23,88044,2671,298300.0,0.2951525310090513,763,29,2700.0,0.2825925925925926,1196.142857142857,30.0,3128.5714285714284,0.38232876712328767
2020-08-24,89364,2697,301100.0,0.29679176353370973,1320,26,2800.0,0.4714285714285714,1246.7142857142858,30.571428571428573,3128.5714285714284,0.3984931506849315
2020-08-25,90774,2731,304500.0,0.29810837438423643,1410,34,3400.0,0.4147058823529412,1278.857142857143,31.571428571428573,3342.857142857143,0.38256410256410256
2020-08-26,92243,2769,307600.0,0.29987971391417423,1469,38,3100.0,0.4738709677419355,1285.857142857143,30.714285714285715,3285.7142857142853,0.39134782608695656
2020-08-27,93811,2799,310700.0,0.3019343418088188,1568,30,3100.0,0.5058064516129033,1335.4285714285713,31.0,3542.857142857143,0.3769354838709677
2020-08-28,95199,2831,314900.0,0.3023150206414735,1388,32,4200.0,0.3304761904761905,1331.7142857142858,31.142857142857142,3600.0,0.3699206349206349
2020-08-29,96282,2857,318600.0,0.3022033898305085,1083,26,3700.0,0.2927027027027027,1321.7142857142858,32.142857142857146,3842.857142857143,0.34394052044609663
2020-08-30,97392,2888,323100.0,0.30142989786443825,1110,31,4500.0,0.24666666666666667,1275.5714285714287,30.571428571428573,3857.142857142857,0.3307037037037038
2020-08-31,98686,2915,326300.0,0.3024394728777199,1294,27,3200.0,0.404375,1225.7142857142858,30.285714285714285,3885.7142857142853,0.3154411764705883
2020-09-01,100026,2956,331400.0,0.30182860591430294,1340,41,5100.0,0.2627450980392157,1183.857142857143,30.571428571428573,3700.0,0.31996138996138995
2020-09-02,101172,2983,334600.0,0.3023670053795577,1146,27,3200.0,0.358125,1183.142857142857,31.285714285714285,3714.2857142857147,0.3185384615384615
2020-09-03,102391,3011,337900.0,0.30302160402485945,1219,28,3300.0,0.3693939393939394,1133.857142857143,31.285714285714285,3457.142857142857,0.32797520661157026
2020-09-04,103486,3045,340800.0,0.303656103286385,1095,34,2900.0,0.3775862068965517,1105.2857142857142,33.42857142857143,3442.857142857143,0.3210373443983402
